,type,text
253,Other,"[-1.65322609e-02 -9.24595445e-02  9.62313488e-02 -5.43983132e-02
 -6.03252240e-02  8.11182931e-02  1.65191978e-01 -8.79997015e-03
  1.03706792e-01  5.89987561e-02  7.22470582e-02  1.09365404e-01
  3.51507142e-02 -5.51080517e-02  1.75504535e-01 -7.79222101e-02
 -2.41792239e-02 -1.28934816e-01 -3.14929523e-03 -6.51390702e-02
 -3.16280842e-01 -2.29813531e-03  1.56689420e-01  5.74134402e-02
 -2.79168412e-02 -1.39772743e-01  1.29322082e-01  2.83434391e-02
  1.84094682e-01 -1.97869446e-02 -4.75787297e-02  5.36385030e-02
  3.74816172e-03 -3.93324718e-03 -2.23226752e-02 -6.72355145e-02
  6.15882464e-02  2.29420841e-01 -9.03936774e-02  1.90541372e-01
  9.64914560e-02  1.04201391e-01 -1.25693142e-01  1.51050761e-01
  1.87204733e-01  5.49382344e-02 -5.95072955e-02  6.13269582e-03
  1.07605517e-01  1.05800748e-01  8.11687112e-03  6.40896708e-02
  2.72034034e-02 -4.87351045e-03 -9.06496942e-02  1.10057160e-01
  8.86830389e-02  3.15564908e-02  3.63870487e-02 -1.01401173e-01
  1.10300109e-01  2.65542977e-02  1.44827545e-01 -1.06724501e-02
 -9.32111368e-02 -1.12221196e-01  8.41110423e-02  6.09112419e-02
 -8.02561492e-02  1.55310124e-01 -1.25099957e-01  1.17715634e-02
 -4.29894216e-02  1.07066959e-01  7.97212124e-03  7.92349130e-03
  1.53885633e-02  3.73418108e-02 -1.33659914e-02  1.18951127e-03
 -1.44066840e-01  1.79324076e-01 -1.28528863e-01  1.42845318e-01
 -5.47841527e-02 -1.07835069e-01 -7.63272122e-02  5.41521758e-02
  5.65759726e-02  5.08422852e-02  1.17057934e-04  4.51537147e-02
  2.19129454e-02  6.11013547e-03 -9.17289034e-03  1.12801895e-01
 -1.86181441e-02  6.93735778e-02  1.10672012e-01 -1.39023438e-02]"
254,Other,"[-1.8447475e-01 -2.5165804e-02  1.2438156e-01 -7.2128199e-02
 -5.3497713e-02 -2.6167631e-02 -4.0799327e-02 -1.3692100e-01
  3.0855933e-02 -1.3411500e-02  1.6119370e-01 -6.7953095e-02
  6.9444165e-02 -1.1703624e-01 -2.8536312e-02  5.5590864e-02
 -1.4170292e-01 -4.9394354e-02 -6.8972856e-02  1.3909414e-01
  1.2293775e-01 -4.5606848e-02  6.7643262e-02  3.1953268e-02
  2.6050678e-02 -1.0282097e-01  5.2595050e-03 -1.4215708e-03
  4.1615237e-02  6.5713994e-02  2.2336397e-02  4.9767800e-02
 -2.4039520e-02  2.0885140e-02  7.1534514e-04 -2.3405883e-02
 -7.0190243e-02  1.9317751e-01 -4.2158395e-02 -1.2511823e-01
 -6.0888767e-02  6.5177288e-03 -1.0753661e-01 -7.2808109e-02
  2.4441853e-01  1.7484561e-01  6.0973540e-02 -1.0636994e-01
 -1.7438084e-05  4.7184937e-02 -1.1532545e-01 -1.8349066e-03
  4.0606603e-02  9.6649215e-02 -7.5198077e-02  1.7535439e-02
  7.7143818e-02  4.3539315e-02  1.4470957e-01 -1.5267783e-01
  4.1071497e-02 -9.2378482e-02  9.7778082e-02 -7.9918228e-02
  6.4993231e-03 -5.9785903e-02  1.0893506e-02 -5.8611631e-03
  5.7943989e-02 -9.2743151e-02 -2.9343736e-01 -7.1379408e-02
  9.9906325e-04  3.1968020e-04  6.7955442e-03  4.3178461e-02
 -2.3546681e-02 -4.4225007e-02 -9.1199940e-03  2.1131635e-02
 -2.3251440e-02 -3.7381195e-02 -2.2178559e-02 -6.0405888e-02
 -3.7770951e-01  1.7269386e-02 -1.5303560e-01  3.4651060e-02
 -4.2416606e-02 -7.6376260e-03  4.0604103e-02  5.1784955e-02
  4.3168440e-02 -4.4503685e-02  6.4704195e-02  1.0419154e-02
 -5.9183467e-02  2.0649150e-02  9.1245741e-02  7.4555501e-02]"
255,Other,"[-2.82037765e-01  2.17881650e-02 -7.20586851e-02 -7.49056116e-02
 -1.53718188e-01  1.03573859e-01  1.57460183e-01  3.77021474e-03
  1.56452328e-01 -1.24329776e-02  1.52071193e-01 -2.46890839e-02
 -6.90319343e-03 -8.04926734e-03 -8.20321590e-03 -2.65341192e-01
  1.57868549e-01  3.12617607e-02  8.62243548e-02  1.12015478e-01
  2.16055438e-01  4.89095598e-01  6.84067383e-02 -2.33850051e-02
 -9.58549697e-03  1.20726772e-01 -1.70205519e-01  1.00212447e-01
  9.14198831e-02 -6.97606057e-03  5.33471294e-02 -1.11179121e-01
 -1.34809047e-01 -7.63809010e-02  2.86523938e-01 -1.27688393e-01
  2.83528063e-02  1.72099173e-01 -1.89115759e-02  1.60782710e-01
  1.20574474e-01  4.91004847e-02 -2.73372799e-01  2.05078781e-01
  4.35497046e-01  9.76716876e-02 -1.40821384e-02  4.02976647e-02
 -7.79037774e-02 -7.82549009e-02 -1.87205151e-01  1.47028744e-01
  1.07045583e-02  5.48854358e-02 -6.03063554e-02  1.31111205e-01
  8.84927735e-02  3.18343043e-02  4.81065176e-02 -8.59245360e-02
  1.48361996e-01 -8.21210910e-03  8.85067359e-02  2.11892083e-01
  1.89878762e-01 -9.56691727e-02  3.78203898e-04 -3.33397090e-02
  2.31201768e-01 -1.02120288e-01 -1.37352154e-01  9.12253559e-02
 -5.90133257e-02 -1.12440251e-01  3.19313221e-02 -1.22076631e-01
  1.09058380e-01  7.99600314e-03  9.58833024e-02 -2.90676728e-02
  1.44284725e-01 -2.06312537e-01  1.16085373e-01 -1.00908034e-01
  3.46580036e-02 -2.55790185e-02 -1.33530721e-01  1.22755617e-01
  4.06284556e-02  1.29277423e-01  1.12835020e-01  1.86825335e-01
 -9.69567373e-02  4.30425815e-02  3.29250656e-02 -1.50045708e-01
 -1.73410475e-02  5.98030537e-02 -1.00867935e-01  1.04244500e-02]"
256,Other,"[ 1.79023147e-01  5.39631955e-02  1.19450120e-02 -1.44402519e-01
 -1.62158310e-01 -1.15001112e-01  1.05343007e-01  1.07056655e-01
  7.99530670e-02  1.95848823e-01  9.34573784e-02  1.40556423e-02
  7.36218318e-02  9.17112008e-02  1.17472433e-01 -1.03441931e-01
 -8.07906315e-02 -3.21577936e-02 -2.80183613e-01  2.49279276e-01
  1.00129724e-01  4.75449823e-02  7.84167275e-02  1.28016219e-01
  1.13071837e-01  1.26678213e-01 -4.63899635e-02  4.77882028e-02
  1.21958621e-01  1.38147101e-01 -1.65813062e-02  2.28984788e-01
  1.10697679e-01  4.14584540e-02  1.58901304e-01 -2.12401152e-04
 -1.34941027e-01  1.40607119e-01  2.11229205e-01 -4.98269685e-02
  2.49146949e-02  3.72797959e-02 -9.46299732e-02  2.47443512e-01
  2.11317912e-01  4.74931151e-02 -1.35812506e-01  2.07665283e-02
  3.39429714e-02  9.56057012e-02 -1.76561028e-02 -3.12261164e-01
 -1.87272951e-01  4.41913754e-02 -6.63896799e-02  5.44580957e-03
  6.24242909e-02 -1.61079124e-01  1.44244760e-01 -4.58699465e-02
 -1.07048757e-01  1.14319287e-01  7.40566850e-02 -5.42781763e-02
 -1.37272850e-01 -6.71003088e-02  2.16364861e-05  5.17805070e-02
  1.37496158e-01 -1.06200278e-01 -4.04603332e-02 -1.70960221e-02
  1.08720690e-01 -1.88140586e-01 -2.53459513e-02  2.63738856e-02
 -9.04313922e-02 -5.94371669e-02 -1.92743540e-02 -1.14410698e-01
  1.23422325e-01 -1.09637141e-01  7.66281458e-03  4.10424918e-02
 -2.37027153e-01 -5.09330444e-02 -1.97152644e-02  5.14559448e-02
 -6.66930294e-03  8.13550726e-02  7.21248612e-02  5.78450644e-03
  5.03199287e-02  1.06552571e-01 -1.36123195e-01  3.47989909e-02
  1.19840495e-01 -2.03666110e-02 -5.72083257e-02  1.83532294e-02]"
257,Other,"[-0.01439064 -0.05817749 -0.01870278 -0.2692637  -0.0257979  -0.0976831
  0.07493374 -0.06850362 -0.0143418   0.26244012 -0.10925906  0.3127286
  0.01669587  0.04469556  0.07761748 -0.34241357  0.1059906   0.0256295
 -0.00291412  0.01746323  0.25003392 -0.00445154  0.17203423  0.13842164
  0.12732977  0.03475615  0.02565268  0.20755863  0.18035111 -0.0009519
  0.02192599  0.20509748 -0.14861381  0.02559926 -0.09895222 -0.03571945
  0.1831365   0.22286592  0.23023     0.12269509  0.01421255  0.15006584
 -0.06197554  0.09058679 -0.00423928  0.12256161 -0.0880954   0.19249149
 -0.03588926  0.17526242 -0.183635    0.05358243 -0.13216871  0.12841853
 -0.03645889 -0.07342562 -0.0186629  -0.0437026   0.11534774 -0.11393684
 -0.02247576  0.02848367  0.09796244 -0.12101627 -0.09434289  0.16275652
 -0.08836798 -0.16702782 -0.02380989  0.00103931 -0.09804284  0.07930689
 -0.04945637 -0.10918514  0.16613421 -0.0825073   0.07366934 -0.08023943
 -0.05793756 -0.04166126  0.19935878  0.08954839 -0.12386774  0.09021522
  0.13812886 -0.0989493  -0.1534045   0.02893116  0.06403806 -0.06121844
  0.0910666   0.09160572  0.03344158 -0.07596697 -0.06179336  0.17265445
 -0.03491761  0.20653564  0.07574448  0.06738615]"
258,Other,"[-0.17954718 -0.05925748 -0.06907225  0.06696709 -0.09660615  0.04578594
  0.03164314  0.07101965  0.02361349 -0.07344472 -0.04615602 -0.02289774
 -0.05606618 -0.13056576 -0.01091479 -0.10669644  0.04004618 -0.13098249
  0.06819697  0.0787764  -0.11158393  0.05401441  0.13406879 -0.0359203
  0.06601091 -0.05459724  0.11307278  0.22850488  0.09010714 -0.20808728
 -0.01830546 -0.16086613 -0.11700203  0.0805473   0.03075423  0.19339582
  0.2284145   0.10838746 -0.09766779  0.10671142  0.06994107  0.09579735
 -0.19108003  0.09431276 -0.03642661  0.05573439 -0.30709785 -0.10419385
  0.13859692  0.04413653 -0.18989582  0.03890312 -0.11000809  0.07419511
  0.07284311 -0.11177016  0.04279175  0.00030838 -0.03207431 -0.01640169
  0.10377193 -0.03439534  0.15576121 -0.14206716 -0.15630421 -0.06461746
 -0.00470939 -0.19169304 -0.04929042 -0.03426263 -0.0605813   0.01983109
 -0.19129784 -0.04708618  0.07167752  0.06589739 -0.0706339  -0.0009371
  0.14548568 -0.10661159  0.15034649  0.1861194   0.02581139  0.15418634
  0.03153309  0.12411399  0.11050718  0.18257569 -0.04406805 -0.01864034
  0.05765758 -0.17502493 -0.03502459 -0.24742639 -0.14765106  0.10332952
  0.03638045 -0.02781724  0.06244864 -0.13118151]"
259,Other,"[ 7.14815259e-02  1.22830778e-01 -7.33631998e-02 -7.30259493e-02
 -7.98720270e-02 -8.04172978e-02  6.37570024e-02  3.65048647e-04
  7.47772828e-02  4.82709184e-02 -2.33085155e-01 -5.54832816e-03
  1.51304342e-03  1.17636047e-01  1.28511816e-01 -2.78280139e-01
 -3.25067565e-02  6.15736470e-03 -1.17208481e-01  1.39459506e-01
 -4.72460352e-02  7.02898391e-03 -3.38441469e-02 -4.06398997e-02
  2.71959782e-01  1.35943323e-01 -5.05422615e-02  2.23863497e-01
  3.75674926e-02 -8.00375342e-02  3.48021053e-02  9.75890830e-03
 -3.55790406e-02 -6.28824010e-02  1.53553784e-01 -3.75557281e-02
  1.03022024e-01  8.43690187e-02  1.28713250e-02  6.84650540e-02
 -5.94969373e-03  6.33292049e-02 -1.89368144e-01 -1.23048909e-02
  6.20022044e-02 -7.52304345e-02 -1.70703769e-01 -6.15372360e-02
  3.71480547e-02  1.21666275e-01 -4.67321984e-02  6.46509528e-02
  6.91185966e-02 -2.16910094e-01 -6.72940984e-02  3.88784185e-02
  2.74285786e-02 -4.89389375e-02  4.20528799e-02 -1.45448506e-01
  5.98965250e-02  2.63383463e-02  1.59062952e-01  8.91261548e-02
  4.09197286e-02  4.73361537e-02  5.53350970e-02 -7.16236308e-02
 -4.68345731e-02  4.06986997e-02 -5.04019894e-02 -6.83889985e-02
 -2.77325004e-01  5.15677966e-05  1.15281597e-01  3.63635756e-02
  2.01345235e-02 -3.64147723e-02  2.86069632e-01  1.28443167e-02
 -1.04211345e-01  1.28054217e-01 -6.87393844e-02  2.28696287e-01
 -1.79559246e-01 -7.87635744e-02 -1.33608982e-01  7.47417510e-02
  5.52781969e-02 -1.05372623e-01 -7.07855150e-02 -1.61193348e-02
  2.00873405e-01  6.17701784e-02  1.16340548e-01 -3.60000730e-02
  1.40158951e-01  9.32926685e-03 -6.25523031e-02 -8.37052613e-03]"
260,Other,"[ 0.10264716  0.08009628  0.0756468  -0.33152863  0.06175755 -0.31550002
 -0.11567232 -0.20912507  0.18265054  0.16781087 -0.22365889  0.20951648
  0.08728493  0.02911288  0.27551717  0.2758116   0.00207271  0.2904394
  0.1018215   0.01659175 -0.12112585  0.35723895 -0.11007595 -0.18822335
  0.02032991 -0.18054634 -0.300728   -0.20119357 -0.3949817   0.04770952
  0.3014831   0.14756778 -0.0262676   0.20992148  0.06310627 -0.22359265
  0.27566385 -0.10025641 -0.23494336 -0.00701815  0.0507025   0.15318342
 -0.01707241  0.1979216   0.01854877 -0.11846602  0.17842008 -0.2521364
  0.07470553 -0.1768432  -0.53357047  0.39090687  0.14875059 -0.05526478
 -0.050953    0.2218333  -0.25737193  0.34319898  0.40435702  0.05811907
 -0.01219226  0.04850086  0.5223451   0.27488434  0.27307466 -0.2882997
 -0.09358241  0.3777032   0.10204871 -0.25301158 -0.23475929 -0.16272844
 -0.08028873 -0.40190414  0.09078676 -0.13700673 -0.13516836 -0.19436322
  0.29426414  0.27380273  0.22812125 -0.02297262 -0.07956763 -0.26353422
  0.2860309   0.07796759 -0.08794314  0.11264964  0.10100645 -0.10509758
  0.17333783  0.07555955  0.28081715 -0.04383469  0.16314763  0.00711161
  0.06095471  0.35853824  0.08754712  0.06104097]"
261,Other,"[-0.20986688 -0.14348997 -0.0453512   0.15644486 -0.08198474 -0.14146283
  0.10288024  0.01668125  0.0424003   0.21361414 -0.05724787 -0.05977045
 -0.20437625 -0.03156981  0.04920255 -0.31902787 -0.11846708 -0.23932755
  0.09272987  0.02331411  0.08626987 -0.0697273   0.09503696 -0.05176648
 -0.19792306 -0.13122489  0.25806808  0.11011082  0.2874645  -0.12087518
 -0.10372894 -0.12914276 -0.03576002  0.0718606  -0.1070187  -0.00072655
  0.11016955  0.00298917 -0.11276757 -0.11316887 -0.1388354   0.04405115
 -0.11803521  0.25060385  0.05354267  0.13830405 -0.03207054  0.18687557
 -0.04455873  0.15637456 -0.36314017 -0.06152683  0.03680456 -0.02164148
 -0.02846838  0.0306536  -0.02621346 -0.10568181  0.14517628 -0.07934172
  0.13531607  0.04628455  0.0985847   0.07319055 -0.07037195 -0.08860995
 -0.15059929 -0.09255989 -0.21428771 -0.02375788  0.09613743 -0.00485971
 -0.12967493 -0.02935383  0.13264978 -0.0004563  -0.10285643 -0.03152319
  0.02469162 -0.01551725 -0.06376061  0.37471694  0.08643413  0.0315914
 -0.01599356 -0.05792491 -0.0520772   0.03667577  0.12050413  0.14823733
 -0.00414198 -0.19188428  0.04028509 -0.12223564 -0.08147877 -0.10370305
 -0.0805099   0.02377198  0.00211414 -0.22984448]"
262,Other,"[ 0.18512957 -0.07611131  0.00283905 -0.25801048 -0.08445986 -0.25828683
  0.13216649 -0.16309163 -0.17211743 -0.21359475 -0.0823099  -0.15456003
  0.02683448  0.17283055  0.08657721 -0.18419445 -0.21149486 -0.02415995
  0.10086466  0.14820948  0.03279444  0.13650377 -0.06968944  0.06734651
  0.17748845 -0.1348286   0.05768031  0.16573445  0.22862974 -0.25002852
  0.31798875 -0.01066865  0.23253596  0.19456837 -0.05505798  0.12895814
  0.07066758 -0.00223499 -0.23720187  0.04110677  0.08326282 -0.32774425
 -0.24472879 -0.13354294  0.09023086 -0.06953222 -0.0854802  -0.07947694
  0.02414192  0.08753172 -0.1328194  -0.01605236 -0.02056601  0.28769383
 -0.25214547  0.15267095  0.01771488 -0.28289393 -0.06360072 -0.0672046
 -0.05680437  0.08651797 -0.06717267 -0.23154229 -0.09818634  0.12440635
  0.08506705  0.07772589  0.08905244  0.24615169 -0.24981397 -0.14497502
 -0.5742208  -0.04814341  0.23323041 -0.11646322 -0.04936297 -0.16750807
 -0.09264159 -0.2904847  -0.0309079   0.2007108   0.1300171  -0.04234835
  0.16204087  0.02248783 -0.14796036 -0.02491533  0.02303315 -0.08722257
 -0.2116456   0.02511227  0.01505714 -0.20904021  0.01102253  0.00836159
  0.00230473  0.15264988  0.00522345  0.27114618]"
263,Other,"[ 8.07861388e-02 -1.08881101e-01 -3.68023366e-02 -1.83726698e-02
  3.09597433e-01 -9.05022770e-02  9.37963650e-03  1.25208527e-01
  4.64166030e-02  1.26669854e-01  6.27285987e-03  1.09675467e-01
  1.99540302e-01  9.47921202e-02 -8.36446881e-02 -2.88133621e-01
 -5.01435772e-02 -1.33458495e-01  1.66686460e-01  1.61631897e-01
  2.27853939e-01 -1.56450987e-01 -4.44418751e-02  1.23104766e-01
 -4.01873380e-01 -1.09365612e-01 -2.07577571e-02  4.41908628e-01
  1.38776243e-01  1.41256243e-01  4.14780155e-02  8.37549381e-03
 -1.98868290e-02 -1.10323101e-01 -1.46534905e-01 -7.38136992e-02
  3.14348452e-02  1.10173360e-01  1.69773564e-01 -1.15639985e-01
 -3.89571488e-03 -2.13947147e-04 -1.40963882e-01  3.21759395e-02
 -3.12625825e-01  4.09715176e-01 -3.84884536e-01  2.87200958e-01
  1.79889977e-01  1.35324851e-01 -2.42936507e-01  2.81510651e-01
 -2.06640974e-01  1.77786946e-01 -9.33113024e-02  2.57274747e-01
 -3.99093777e-02  8.57436731e-02  9.02942643e-02  2.31951088e-01
  2.69940943e-01  8.63036886e-02  2.47633934e-01  2.45531335e-01
 -2.33829081e-01  1.30362421e-01 -1.06689855e-01 -2.51699805e-01
 -5.48605770e-02  3.11735958e-01  4.27941829e-02  1.08160704e-01
 -8.05374756e-02  6.31128177e-02  3.02172471e-02  5.81254475e-02
 -3.91469225e-02 -2.50926733e-01 -1.96958601e-01  3.36246461e-01
  2.15824228e-02  2.74042428e-01  1.94686264e-01 -8.59494880e-02
  2.77654469e-01 -6.98397756e-02  2.24074312e-02  3.19789231e-01
 -2.87230760e-02 -1.00728601e-01  4.83345874e-02 -9.98650044e-02
  4.66584057e-01  1.94703445e-01  1.16592869e-01 -1.76423848e-01
 -1.36428997e-01  9.98965129e-02  1.26692608e-01 -2.68797994e-01]"
264,Other,"[ 0.17863493  0.0146607   0.02047023 -0.05840179  0.00069207  0.00078969
  0.37840873  0.16102666 -0.21295452  0.01451219  0.12672931  0.27054164
  0.07280654 -0.12851503 -0.07711685 -0.05244132 -0.2430996   0.14624557
  0.10817895 -0.18551739  0.21372858  0.23395531  0.17789237  0.04633152
  0.07310277  0.04060457  0.10239919  0.13758253  0.05290014 -0.03131534
 -0.12947667  0.19941565  0.1255525  -0.01995309  0.09069996  0.01948914
  0.2607168   0.0097826   0.05037845 -0.12352329  0.02986457 -0.04765717
 -0.01121219 -0.10757317  0.2961969  -0.06079283 -0.13495024 -0.05792352
 -0.0559324   0.06813828 -0.01423447 -0.11450721  0.2575881   0.0118188
 -0.04338834 -0.09112991 -0.02010055 -0.07572345 -0.01303503  0.04201739
 -0.02858664  0.01798061  0.012797    0.05730719 -0.156984   -0.08742853
  0.0944167  -0.0610349   0.23430309 -0.07384546 -0.21940184 -0.10151581
 -0.00900236 -0.00271534  0.17356434 -0.01659077 -0.07641426  0.12197789
  0.02247674  0.09086631  0.13982187 -0.24785133  0.06988776 -0.10679132
 -0.09747387 -0.08164916 -0.20801087  0.3078162  -0.00623885 -0.21186292
 -0.108523   -0.03606522  0.07454599  0.13354462 -0.10834632 -0.08090807
  0.04461833  0.00957127  0.1792369  -0.02507075]"
265,Other,"[-0.02869656 -0.11202089 -0.01516137 -0.04996135 -0.08790918  0.00598816
  0.02225326  0.06340491  0.07481785  0.07210006  0.05777211  0.04345592
 -0.02937456  0.10782795  0.01705832 -0.29206118 -0.04295358  0.14163962
 -0.18731189  0.07231562  0.2379572   0.03382483  0.10041109  0.10133662
 -0.13835895  0.046748   -0.0047893  -0.07576758  0.11205034  0.01752887
  0.01489447  0.10056772 -0.09044517 -0.01947578  0.10666908  0.07772856
  0.20033471  0.06964812 -0.03993947  0.08188671 -0.03078145 -0.02089612
 -0.18309405  0.14531708  0.21234536 -0.03661684  0.0254839  -0.04757154
  0.02269716  0.09354988 -0.11650397  0.24412398 -0.02573203  0.03840281
  0.05964945 -0.06216037  0.01619648  0.06051908  0.05345501 -0.0827357
  0.28162557  0.0677763   0.12187658  0.13007411  0.03795079 -0.1829171
  0.1022373  -0.0272706  -0.14506519  0.01505311  0.00374245 -0.03506104
 -0.12473081 -0.20007658  0.02789471 -0.11074968 -0.07285619  0.08970603
  0.08244591 -0.02087578  0.10178746  0.07510637 -0.02912745  0.05044034
 -0.01061473  0.05403866 -0.05948859  0.02617825 -0.02809268  0.14013499
  0.18236867  0.00640637  0.1362693   0.05524248  0.0485443   0.08339125
  0.07306154  0.03782248  0.09179509 -0.1248012 ]"
266,Other,"[-0.13192542  0.20109932  0.07495485 -0.16962266 -0.121532   -0.05968956
 -0.01301467  0.01156769  0.22029164  0.0286805  -0.00879558 -0.15636648
  0.16007185 -0.00385971  0.29533297  0.01376333  0.034742   -0.13237955
 -0.18896459  0.18186763 -0.04865092 -0.13332357 -0.00156157 -0.12112634
  0.13218337  0.10342734  0.16161996  0.08775956  0.02433541 -0.02420688
 -0.1451127   0.19682565 -0.12582931  0.00784269  0.18962458 -0.00650961
  0.07956471  0.21679619 -0.07349277  0.0508353   0.06973797  0.0353386
  0.04408474  0.09179585  0.15436462  0.06023753 -0.11107264 -0.17338392
  0.10458449  0.14189644 -0.04310247 -0.10085088  0.1249143  -0.03783478
  0.07682677 -0.05990846  0.01636694  0.01091691  0.02459219 -0.12293496
  0.13539734  0.04755479  0.00557575 -0.16274002 -0.1670691  -0.14498357
  0.15455906  0.0892721   0.02719336  0.04212408 -0.10883822 -0.11161051
  0.03738438  0.01778871 -0.12414744  0.10792653 -0.18546037 -0.21166413
 -0.07104178 -0.021632    0.19119745  0.1178297  -0.01362343  0.05269447
 -0.11715335  0.01018014  0.02974219  0.12719962 -0.04776164  0.22037053
 -0.09322594 -0.12977795 -0.0264738   0.03457244 -0.07571734 -0.06547462
 -0.02207476 -0.02907287 -0.06913835  0.14281501]"
267,Other,"[ 0.0293395  -0.11648742 -0.03739876  0.01945333  0.13149638  0.15373607
 -0.10232539 -0.23945425  0.07911282  0.17461021  0.04161535 -0.06108193
 -0.28945404  0.07360359 -0.00363679 -0.26533884  0.01493872 -0.1769764
  0.02636902  0.4037827   0.15133707 -0.08625626  0.01302718  0.11353393
 -0.08726705 -0.00337518 -0.1186275   0.01879545  0.2518971   0.06528565
 -0.09283711  0.13559128 -0.02635579 -0.00899335 -0.04079372  0.05197365
  0.25025803  0.21204337 -0.2618853  -0.0640096   0.2995476   0.08371431
 -0.15032718  0.1607657  -0.25526875  0.09388522 -0.05658657  0.2333933
  0.30225256  0.12700856 -0.25519964 -0.14125893 -0.40774527  0.05932305
  0.01024293 -0.11522526 -0.01383185 -0.16852303  0.16855188 -0.11326116
  0.0785842  -0.12381534  0.04405512 -0.00936103 -0.1528817  -0.08881249
  0.12959759 -0.2237542  -0.05552572  0.16266894  0.13469411 -0.02860755
  0.05776918 -0.11002965  0.13279781 -0.18214013  0.20327024  0.14193743
 -0.17053829 -0.27618536 -0.20794027  0.15299325  0.17240466  0.07116676
 -0.15803485  0.10726331 -0.07553575  0.3654871  -0.077494    0.13101439
  0.13106836 -0.26008144  0.28272915  0.23026739 -0.33701873  0.09707896
 -0.01892832  0.2299249   0.10228325 -0.16277872]"
268,Other,"[-0.05803075 -0.01891001 -0.01751256 -0.08132511 -0.1517089   0.04197726
  0.04761533 -0.03754999 -0.03309894 -0.02316073 -0.06203413 -0.12489197
 -0.17046176  0.14128038 -0.02670998  0.08415435  0.01525233 -0.06099476
 -0.12925589  0.06855192 -0.03541237  0.06314814  0.06164806  0.04365121
 -0.0704122  -0.14374109  0.10520415  0.0820345   0.04243532 -0.1607345
  0.15872145 -0.01326476 -0.10751826 -0.04539812 -0.04260089 -0.08426487
  0.08193782  0.11083593 -0.04066435 -0.02003968 -0.18059205  0.16752099
 -0.01083555 -0.07303963  0.08692297  0.13262752 -0.0961944   0.05924978
  0.22466356 -0.04373388 -0.13144812 -0.02721443 -0.06772891  0.02093247
  0.01453195 -0.04401696 -0.09168599  0.11180883  0.16463837  0.04052108
  0.03304965 -0.04152604  0.08594526  0.00569918 -0.03294871 -0.10302684
  0.05277193 -0.07189176 -0.15257588 -0.11471649 -0.07398358 -0.07523032
 -0.03962709 -0.13198097 -0.04663468 -0.09802221  0.01054844 -0.11160342
  0.01867347 -0.04190323  0.13140732  0.03467394  0.03343481 -0.12134495
 -0.02448897 -0.04714786 -0.15043877 -0.01674739 -0.1515085   0.01344483
  0.04546361  0.00461491  0.09123984 -0.05332044  0.10015186  0.10616022
 -0.03632732 -0.10510399  0.01746622 -0.16654842]"
269,Other,"[-0.1369674   0.00376408  0.17478053 -0.02359709 -0.01328396 -0.0309671
 -0.14070077  0.05485205  0.11818912 -0.0398692   0.03268676 -0.13627759
  0.01756708  0.01917069  0.0619474   0.01692991  0.28877196 -0.10015902
  0.03175601  0.01888893 -0.05563425  0.00755093  0.16278829 -0.06980237
  0.0103631   0.11189561 -0.02998526  0.26372916  0.03412485  0.02498785
  0.04208281 -0.1411567   0.11792408  0.06452936 -0.01158168  0.07955687
  0.18935893 -0.06617485 -0.11562274  0.15281665 -0.278504    0.14759764
 -0.0814506   0.09683138 -0.03377232  0.1292942  -0.34533873  0.00079673
  0.37838203  0.07032869 -0.21153343 -0.00601026 -0.12597235  0.03614295
  0.1444568  -0.05896226 -0.03794578 -0.09593087 -0.10523356  0.11736222
  0.08222608  0.06290144 -0.11788188  0.01297134 -0.2216823   0.06834006
 -0.12440165 -0.2559092  -0.15182704 -0.03823499 -0.00549714 -0.04663568
 -0.01050811 -0.1325482  -0.03884986 -0.02613155 -0.07750348 -0.26672512
 -0.0565981  -0.02646999  0.10597304  0.13110237  0.00744278  0.02731974
  0.02920163 -0.01207737  0.22747515  0.25649354 -0.08460703  0.01509307
  0.08642425 -0.19636029  0.04336234 -0.2751554   0.08762178  0.05455938
 -0.04530665 -0.01244209 -0.1269046  -0.08080746]"
270,Other,"[ 0.19137406 -0.07398447 -0.08241697 -0.13431513  0.24313693  0.06649987
  0.17371617  0.04308262  0.21037202  0.1405202   0.14840965  0.21459313
 -0.05584555 -0.03330815  0.04652124 -0.09765172 -0.07645058 -0.02656005
  0.23380198 -0.03979221  0.1701017   0.10032501 -0.03233007  0.48559365
 -0.2625808  -0.113583    0.14326712  0.2733191  -0.09375022 -0.02057068
 -0.08800336 -0.12989269 -0.25885785 -0.17876083 -0.11878932  0.11872514
  0.2909631   0.06787138 -0.13346483 -0.0913772   0.145741    0.10871834
 -0.16124977 -0.02864135  0.0622357  -0.19881564 -0.12090967  0.1321495
  0.08532909  0.11582158 -0.19143455  0.17383753 -0.06050737  0.26514506
 -0.25792488 -0.31611553 -0.10023939  0.0596381   0.12012408 -0.06333172
  0.09103579 -0.0708931   0.31953478  0.03719376 -0.09607957  0.08943016
 -0.14031753 -0.07549699  0.21743108 -0.17649555 -0.3380517  -0.28479066
 -0.04014169 -0.03793737  0.05433803  0.00920296  0.07100304  0.15218903
 -0.14502005  0.09277567  0.15984917 -0.07565036 -0.05700599 -0.16693477
 -0.20048504  0.03172154  0.03103947  0.19638576  0.13762014 -0.22302921
  0.06766215 -0.01656831  0.06533622  0.10166055  0.03115304  0.23898602
 -0.08687511  0.08111248  0.43202463  0.0020475 ]"
